last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Rogers, Taylor,573124,2022,65.9,7.6,
Stroman, Marcus,573186,2022,76.5,7.8,
Thielbar, Caleb,573204,2022,82.1,8.4,
Minaya, Juan,573668,2022,66.7,3.4,
Kikuchi, Yusei,579328,2022,75.6,7.1,
Adam, Jason,592094,2022,74.1,9,
Brice, Austin,592169,2022,83.3,5.7,
Gausman, Kevin,592332,2022,81.5,6.8,
Gonzalez, Chi Chi,592346,2022,76.9,6.9,
Gray, Jon,592351,2022,73.5,7.5,
Hembree, Heath,592390,2022,77.3,11.1,
Kahnle, Tommy,592454,2022,80,11.5,
Kolarek, Adam,592473,2022,61.1,5.6,
Ray, Robbie,592662,2022,82.4,7.1,
Sampson, Adrian,592716,2022,81.4,5.7,
Sanchez, Aaron,592717,2022,69.3,7.5,
Shreve, Chasen,592741,2022,69.2,5.5,
Smith, Caleb,592761,2022,79.3,7.5,
Smyly, Drew,592767,2022,81.1,8.3,
Stanek, Ryne,592773,2022,83.9,6.9,
Syndergaard, Noah,592789,2022,81.8,7.6,
Taillon, Jameson,592791,2022,79.5,7.1,
Thornburg, Tyler,592804,2022,94.7,5.2,
Velasquez, Vince,592826,2022,85.9,7.7,
Walker, Taijuan,592836,2022,70.7,6.6,
Weiss, Zack,592848,2022,80,7.2,
Wick, Rowan,592858,2022,76,6.6,
Williams, Trevor,592866,2022,87.6,6.3,
German, Domingo,593334,2022,75.3,7.9,
Montas, Frankie,593423,2022,79.6,6.7,
Neris, Hector,593576,2022,79.7,7.3,
Tapia, Domingo,593619,2022,85.7,9.6,
Alberto, Hanser,593643,2022,100,8.6,
Rodriguez, Eduardo,593958,2022,75.9,7.9,
Peralta, Wandy,593974,2022,84.5,7.1,
Gustave, Jandel,594311,2022,80,9.7,
Mayers, Mike,594577,2022,82.5,7.1,
Moll, Sam,594580,2022,66.1,7.6,
deGrom, Jacob,594798,2022,83.3,5.7,
Gonzales, Marco,594835,2022,80.6,6,
Eickhoff, Jerad,595191,2022,42.9,8.4,
Okert, Steven,595345,2022,75.8,6.8,
Beede, Tyler,595881,2022,82.3,5.8,
Ellis, Chris,595939,2022,87.5,9.6,
Junis, Jakob,596001,2022,67.1,9.3,
Mengden, Daniel,596043,2022,80,12.6,
Norris, Daniel,596057,2022,60.6,7,
Peters, Dillon,596071,2022,80.8,8.2,
Reed, Jake,596082,2022,73.3,9.8,
Stephenson, Robert,596112,2022,81.8,7.2,
Weaver, Luke,596133,2022,88.4,6,
Lawrence, Casey,596271,2022,52.4,7.1,
Gomber, Austin,596295,2022,80.3,6.7,
Barnes, Matt,598264,2022,73.2,8.1,
Ramirez, Noe,598287,2022,75.8,7.4,
Leclerc, Jose,600917,2022,71.4,5.4,
Machado, Andres,600921,2022,78.2,5.5,
Pivetta, Nick,601713,2022,76.7,8.3,
Barlow, Scott,605130,2022,71,5.8,
Bassitt, Chris,605135,2022,72.9,8.3,
Bradley, Archie,605151,2022,78.6,9.2,
Brebbia, John,605154,2022,80,9.2,
Brooks, Aaron,605156,2022,90,6.5,
Bundy, Dylan,605164,2022,74.1,7.8,
Chafin, Andrew,605177,2022,80,5,
Clevinger, Mike,605182,2022,79.4,7.1,
Cotton, Jharel,605194,2022,79.2,7.2,
Crick, Kyle,605195,2022,72.2,6.5,
Davies, Zach,605200,2022,85.1,5,
Edwards Jr., Carl,605218,2022,82.8,9.2,
Fulmer, Michael,605242,2022,76.1,6.4,
Holmes, Clay,605280,2022,76.5,7,
Houser, Adrian,605288,2022,73,4.8,
Lopez, Jorge,605347,2022,64.6,9.7,
Musgrove, Joe,605397,2022,72.2,6.6,
Nola, Aaron,605400,2022,76,7.5,
Rodriguez, Dereck,605446,2022,85.7,7.1,
Romano, Jordan,605447,2022,82.7,7.6,
Scott, Tayler,605463,2022,50,5.5,
Snell, Blake,605483,2022,82.4,6.5,
Springs, Jeffrey,605488,2022,69,6.7,
Thompson, Zach,605507,2022,77.4,7.5,
Warren, Art,605521,2022,81.7,9.2,
Wendelken, J.B.,605525,2022,76.2,8.6,
Wisler, Matt,605538,2022,81.2,9.2,
Woodruff, Brandon,605540,2022,71.5,9,
Perdomo, Luis,606131,2022,88.2,6,
Gallegos, Giovanny,606149,2022,77.8,6.4,
Montero, Rafael,606160,2022,76.8,6.3,
Elias, Roenis,606273,2022,100,7,
Payamps, Joel,606303,2022,76.8,7.2,
Garcia, Jarlin,606424,2022,75,7.9,
Moronta, Reyes,606625,2022,73.8,6.6,
Barnes, Jacob,606930,2022,87,6.4,
Devenski, Chris,606965,2022,73.9,9.5,
Rodon, Carlos,607074,2022,75.7,7.4,
Weems, Jordan,607179,2022,76.5,6.9,
Glasnow, Tyler,607192,2022,81.8,9.6,
Fedde, Erick,607200,2022,77,6.7,
Krehbiel, Joey,607216,2022,81.3,8.2,
Gsellman, Robert,607229,2022,93.3,7.2,
Garrett, Amir,607237,2022,72.5,6.3,
Martinez, Nick,607259,2022,80,6.4,
Patton, Spencer,607359,2022,100,4.5,
Mazza, Chris,607391,2022,71.4,10.4,
Banda, Anthony,607455,2022,67.3,8.9,
Barraclough, Kyle,607457,2022,60,7.2,
Bummer, Aaron,607481,2022,65.6,7,
Freeland, Kyle,607536,2022,75.4,6.4,
Lugo, Seth,607625,2022,69.1,9,
Means, John,607644,2022,90,7.4,
Vasquez, Andrew,607755,2022,60,6.5,
Estevez, Carlos,608032,2022,82.9,6.9,
De Jong, Chase,608328,2022,77.7,8.8,
Fried, Max,608331,2022,73.7,6.4,
Giolito, Lucas,608337,2022,77.3,7.2,
Irvin, Cole,608344,2022,77.7,8.8,
Knebel, Corey,608349,2022,74.1,7.3,
Sims, Lucas,608371,2022,71.4,10.9,
Wacha, Michael,608379,2022,82.3,7.5,
Marquez, German,608566,2022,78.9,8.7,
Chargois, JT,608638,2022,77.3,6.6,
Duffey, Tyler,608648,2022,64.7,6.9,
Farrell, Luke,608652,2022,75,7,
Graveman, Kendall,608665,2022,80.3,6.4,
Leone, Dominic,608678,2022,86.8,4.6,
Steckenrider, Drew,608716,2022,89.5,6.6,
Stratton, Chris,608717,2022,77.6,6.9,
Suter, Brent,608718,2022,80.5,7.2,
Voth, Austin,608723,2022,83,7.7,
Castro, Miguel,612434,2022,61.4,8.5,
Ruiz, Jose,614179,2022,77.2,5.1,
Quantrill, Cal,615698,2022,74.2,6.6,
Sawamura, Hirokazu,617228,2022,87.9,6.9,
Cuas, Jose,621016,2022,64.9,8.3,
Wilson, Steven,621051,2022,72.1,7,
Rucker, Michael,621074,2022,80.8,5.8,
Kaprielian, James,621076,2022,77.6,7.6,
Wiles, Collin,621079,2022,90,6.5,
Lemoine, Jake,621082,2022,69,9.7,
Eflin, Zach,621107,2022,74.6,5.3,
Buehler, Walker,621111,2022,77.1,6.7,
Blackburn, Paul,621112,2022,67.6,6.3,
Burr, Ryan,621114,2022,100,6.7,
McCullers Jr., Lance,621121,2022,62.7,6.7,
